Message Types,,,,,,,,,,,,,,,,,,,,
,0x0X,0x1X,0x2X,0x3X,0x4X,0x5X,0x6X,0x7X,0x8X,0x9X,0xAX,0xBX,0xCX,0xDX,0xEX,0xFX,,,,
,auth,domain,admin,,,,,,,,,,,,,general,,,,
0xX0,auth,list,add user,,,,,,,,,,,,,,,,,
0xX1,deauth,,remove user,,,,,,,,,,,,,,,,,
0xX2,change pass,,complete deauth user,,,,,,,,,,,,,,,,,
0xX3,,,add domain,,,,,,,,,,,,,,,,,
0xX4,,,remove domain,,,,,,,,,,,,,,,,,
0xX5,,,change domain authority,,,,,,,,,,,,,,,,,
0xX6,,,change user password,,,,,,,,,,,,,,,,,
0xX7,,,reset domain zones,,,,,,,,,,,,,,,,,
0xX8,,,,,,,,,,,,,,,,,,,,
0xX9,,,,,,,,,,,,,,,,,,,,
0xXA,,,,,,,,,,,,,,,,,,,,
0xXB,,,,,,,,,,,,,,,,,,,,
0xXC,,,,,,,,,,,,,,,,,,,,
0xXD,,,,,,,,,,,,,,,,,,,,
0xXE,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,,,
0xXF,response,response,response,response,response,response,response,response,response,response,response,response,response,response,response,response,,,,
Hex -> Dec,,,,,,,,,,,,,,,,,,,,
,0x0X,0x1X,0x2X,0x3X,0x4X,0x5X,0x6X,0x7X,0x8X,0x9X,0xAX,0xBX,0xCX,0xDX,0xEX,0xFX,,,,
0xX0,0,16,32,48,64,80,96,112,128,144,160,176,192,208,224,240,,,,
0xX1,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,,,,
0xX2,2,18,34,50,66,82,98,114,130,146,162,178,194,210,226,242,,,,
0xX3,3,19,35,51,67,83,99,115,131,147,163,179,195,211,227,243,,,,
0xX4,4,20,36,52,68,84,100,116,132,148,164,180,196,212,228,244,,,,
0xX5,5,21,37,53,69,85,101,117,133,149,165,181,197,213,229,245,,,,
0xX6,6,22,38,54,70,86,102,118,134,150,166,182,198,214,230,246,,,,
0xX7,7,23,39,55,71,87,103,119,135,151,167,183,199,215,231,247,,,,
0xX8,8,24,40,56,72,88,104,120,136,152,168,184,200,216,232,248,,,,
0xX9,9,25,41,57,73,89,105,121,137,153,169,185,201,217,233,249,,,,
0xXA,10,26,42,58,74,90,106,122,138,154,170,186,202,218,234,250,,,,
0xXB,11,27,43,59,75,91,107,123,139,155,171,187,203,219,235,251,,,,
0xXC,12,28,44,60,76,92,108,124,140,156,172,188,204,220,236,252,,,,
0xXD,13,29,45,61,77,93,109,125,141,157,173,189,205,221,237,253,,,,
0xXE,14,30,46,62,78,94,110,126,142,158,174,190,206,222,238,254,,,,
0xXF,15,31,47,63,79,95,111,127,143,159,175,191,207,223,239,255,,,,
Status codes,,,,,,,,,,,,,,,,,,,,
,0x0X,0x1X,0x2X,0x3X,0x4X,0x5X,0x6X,0x7X,0x8X,0x9X,0xAX,0xBX,0xCX,0xDX,0xEX,0xFX,,,,
,auth,,,,,,,,,,,,,,error,malformed,,,,
0xX0,good auth,,,,,,,,,,,,,,,,,,,
0xX1,good deauth,,,,,,,,,,,,,,,,,,,
0xX2,good change,,,,,,,,,,,,,,,,,,,
0xX3,nonexistant user,,,,,,,,,,,,,,,,,,,
0xX4,malformed userfile,,,,,,,,,,,,,,,,,,,
0xX5,bad credentials,,,,,,,,,,,,,,,,,,,
0xX6,malformed password hash,,,,,,,,,,,,,,,,,,,
0xX7,bad userfile write,,,,,,,,,,,,,,,,,,,
0xX8,,,,,,,,,,,,,,,,,,,,
0xX9,,,,,,,,,,,,,,,,,,,,
0xXA,,,,,,,,,,,,,,,,,,,,
0xXB,,,,,,,,,,,,,,,,,,,,
0xXC,,,,,,,,,,,,,,,,unspecified type,,,,
0xXD,,,,,,,,,,,,,,,,invalid json,,,,
0xXE,,,,,,,,,,,,,,,,protected/nonexistant type,,,,
0xXF,,,,,,,,,,,,,,,bad token,not present,,,,
